	time [s]	theta [rad]	thetadot [rad/s]	k_energy	p_energy	total_energy
	0.01000	0.52311	-0.04905	0.00120	1.31189	1.31309
	0.02000	0.52213	-0.09806	0.00481	1.30708	1.31189
	0.03000	0.52066	-0.14698	0.01080	1.29990	1.31070
	0.04000	0.51870	-0.19578	0.01917	1.29036	1.30953
	0.05000	0.51626	-0.24442	0.02987	1.27850	1.30837
	0.06000	0.51333	-0.29284	0.04288	1.26436	1.30724
	0.07000	0.50992	-0.34102	0.05815	1.24798	1.30613
	0.08000	0.50603	-0.38890	0.07562	1.22942	1.30504
	0.09000	0.50166	-0.43645	0.09524	1.20875	1.30400
	0.10000	0.49683	-0.48362	0.11695	1.18604	1.30298
	0.11000	0.49152	-0.53038	0.14065	1.16136	1.30201
	0.12000	0.48576	-0.57668	0.16628	1.13480	1.30108
	0.13000	0.47953	-0.62248	0.19374	1.10646	1.30020
	0.14000	0.47285	-0.66774	0.22294	1.07643	1.29937
	0.15000	0.46573	-0.71242	0.25377	1.04483	1.29860
	0.16000	0.45817	-0.75647	0.28613	1.01175	1.29788
	0.17000	0.45017	-0.79986	0.31989	0.97733	1.29722
	0.18000	0.44174	-0.84255	0.35494	0.94168	1.29662
	0.19000	0.43290	-0.88449	0.39116	0.90493	1.29609
	0.20000	0.42364	-0.92564	0.42841	0.86722	1.29562
	0.21000	0.41398	-0.96597	0.46655	0.82868	1.29523
	0.22000	0.40393	-1.00543	0.50545	0.78946	1.29491
	0.23000	0.39349	-1.04399	0.54495	0.74970	1.29465
	0.24000	0.38267	-1.08160	0.58493	0.70955	1.29448
	0.25000	0.37149	-1.11823	0.62522	0.66916	1.29438
	0.26000	0.35995	-1.15384	0.66567	0.62868	1.29435
	0.27000	0.34807	-1.18839	0.70614	0.58826	1.29440
	0.28000	0.33585	-1.22185	0.74646	0.54807	1.29453
	0.29000	0.32331	-1.25418	0.78649	0.50825	1.29474
	0.30000	0.31045	-1.28535	0.82606	0.46896	1.29502
	0.31000	0.29730	-1.31532	0.86503	0.43035	1.29538
	0.32000	0.28386	-1.34406	0.90324	0.39258	1.29582
	0.33000	0.27014	-1.37153	0.94055	0.35578	1.29633
	0.34000	0.25617	-1.39771	0.97680	0.32011	1.29691
	0.35000	0.24194	-1.42257	1.01185	0.28572	1.29756
	0.36000	0.22748	-1.44607	1.04556	0.25273	1.29829
	0.37000	0.21280	-1.46819	1.07780	0.22127	1.29907
	0.38000	0.19791	-1.48891	1.10843	0.19149	1.29992
	0.39000	0.18283	-1.50820	1.13733	0.16350	1.30083
	0.40000	0.16757	-1.52604	1.16439	0.13740	1.30180
	0.41000	0.15214	-1.54240	1.18949	0.11332	1.30281
	0.42000	0.13657	-1.55727	1.21254	0.09134	1.30388
	0.43000	0.12086	-1.57062	1.23342	0.07156	1.30499
	0.44000	0.10504	-1.58245	1.25207	0.05407	1.30614
	0.45000	0.08911	-1.59273	1.26840	0.03892	1.30732
	0.46000	0.07310	-1.60146	1.28234	0.02620	1.30854
	0.47000	0.05701	-1.60863	1.29384	0.01594	1.30978
	0.48000	0.04087	-1.61422	1.30285	0.00819	1.31104
	0.49000	0.02469	-1.61823	1.30933	0.00299	1.31232
	0.50000	0.00848	-1.62065	1.31325	0.00035	1.31360
	0.51000	-0.00774	-1.62148	1.31460	0.00029	1.31489
	0.52000	-0.02394	-1.62072	1.31337	0.00281	1.31618
	0.53000	-0.04013	-1.61837	1.30956	0.00790	1.31746
	0.54000	-0.05627	-1.61444	1.30320	0.01553	1.31873
	0.55000	-0.07236	-1.60892	1.29431	0.02567	1.31998
	0.56000	-0.08838	-1.60183	1.28293	0.03829	1.32121
	0.57000	-0.10431	-1.59317	1.26909	0.05332	1.32241
	0.58000	-0.12014	-1.58295	1.25287	0.07071	1.32358
	0.59000	-0.13585	-1.57120	1.23433	0.09039	1.32472
	0.60000	-0.15143	-1.55791	1.21354	0.11226	1.32581
	0.61000	-0.16686	-1.54311	1.19060	0.13625	1.32685
	0.62000	-0.18213	-1.52682	1.16559	0.16226	1.32784
	0.63000	-0.19722	-1.50905	1.13862	0.19017	1.32878
	0.64000	-0.21212	-1.48983	1.10979	0.21987	1.32967
	0.65000	-0.22681	-1.46918	1.07924	0.25125	1.33049
	0.66000	-0.24128	-1.44712	1.04707	0.28417	1.33124
	0.67000	-0.25552	-1.42368	1.01343	0.31851	1.33193
	0.68000	-0.26951	-1.39888	0.97843	0.35412	1.33255
	0.69000	-0.28323	-1.37276	0.94224	0.39086	1.33310
	0.70000	-0.29669	-1.34535	0.90498	0.42860	1.33358
	0.71000	-0.30985	-1.31667	0.86680	0.46717	1.33398
	0.72000	-0.32272	-1.28675	0.82787	0.50644	1.33430
	0.73000	-0.33528	-1.25564	0.78832	0.54623	1.33455
	0.74000	-0.34751	-1.22336	0.74831	0.58641	1.33472
	0.75000	-0.35941	-1.18995	0.70799	0.62682	1.33482
	0.76000	-0.37097	-1.15545	0.66753	0.66730	1.33483
	0.77000	-0.38217	-1.11989	0.62707	0.70770	1.33477
	0.78000	-0.39300	-1.08330	0.58677	0.74787	1.33464
	0.79000	-0.40346	-1.04573	0.54678	0.78765	1.33443
	0.80000	-0.41353	-1.00722	0.50725	0.82690	1.33414
	0.81000	-0.42321	-0.96780	0.46832	0.86547	1.33378
	0.82000	-0.43248	-0.92751	0.43014	0.90322	1.33336
	0.83000	-0.44134	-0.88639	0.39285	0.94001	1.33286
	0.84000	-0.44979	-0.84449	0.35658	0.97572	1.33230
	0.85000	-0.45781	-0.80184	0.32147	1.01020	1.33167
	0.86000	-0.46539	-0.75848	0.28765	1.04334	1.33099
	0.87000	-0.47254	-0.71446	0.25522	1.07502	1.33024
	0.88000	-0.47924	-0.66981	0.22432	1.10512	1.32944
	0.89000	-0.48548	-0.62457	0.19504	1.13354	1.32859
	0.90000	-0.49127	-0.57880	0.16750	1.16018	1.32768
	0.91000	-0.49659	-0.53252	0.14179	1.18495	1.32674
	0.92000	-0.50145	-0.48578	0.11799	1.20775	1.32574
	0.93000	-0.50584	-0.43862	0.09619	1.22852	1.32472
	0.94000	-0.50975	-0.39109	0.07648	1.24718	1.32365
	0.95000	-0.51318	-0.34322	0.05890	1.26366	1.32256
	0.96000	-0.51613	-0.29506	0.04353	1.27790	1.32143
	0.97000	-0.51860	-0.24664	0.03042	1.28987	1.32029
	0.98000	-0.52058	-0.19802	0.01961	1.29952	1.31912
	0.99000	-0.52207	-0.14923	0.01113	1.30681	1.31794
	1.00000	-0.52307	-0.10031	0.00503	1.31172	1.31675
	1.01000	-0.52359	-0.05130	0.00132	1.31423	1.31555
	1.02000	-0.52361	-0.00225	0.00000	1.31434	1.31435
	1.03000	-0.52314	0.04680	0.00110	1.31205	1.31314
	1.04000	-0.52218	0.09581	0.00459	1.30736	1.31195
	1.05000	-0.52074	0.14474	0.01047	1.30028	1.31076
	1.06000	-0.51880	0.19355	0.01873	1.29085	1.30958
	1.07000	-0.51638	0.24219	0.02933	1.27910	1.30843
	1.08000	-0.51347	0.29062	0.04223	1.26506	1.30729
	1.09000	-0.51008	0.33881	0.05740	1.24878	1.30618
	1.10000	-0.50622	0.38671	0.07477	1.23032	1.30509
	1.11000	-0.50187	0.43428	0.09430	1.20975	1.30404
	1.12000	-0.49706	0.48147	0.11591	1.18712	1.30303
	1.13000	-0.49178	0.52825	0.13952	1.16253	1.30206
	1.14000	-0.48603	0.57457	0.16506	1.13606	1.30113
	1.15000	-0.47983	0.62039	0.19244	1.10780	1.30024
	1.16000	-0.47317	0.66568	0.22156	1.07785	1.29941
	1.17000	-0.46607	0.71038	0.25232	1.04631	1.29863
	1.18000	-0.45852	0.75447	0.28461	1.01330	1.29791
	1.19000	-0.45054	0.79789	0.31831	0.97893	1.29725
	1.20000	-0.44214	0.84061	0.35331	0.94334	1.29665
	1.21000	-0.43331	0.88258	0.38948	0.90664	1.29611
	1.22000	-0.42407	0.92377	0.42668	0.86897	1.29564
	1.23000	-0.41443	0.96414	0.46478	0.83047	1.29525
	1.24000	-0.40440	1.00364	0.50365	0.79127	1.29492
	1.25000	-0.39397	1.04224	0.54313	0.75153	1.29466
	1.26000	-0.38317	1.07989	0.58309	0.71140	1.29448
	1.27000	-0.37201	1.11657	0.62337	0.67101	1.29438
	1.28000	-0.36049	1.15223	0.66382	0.63054	1.29435
	1.29000	-0.34862	1.18683	0.70429	0.59012	1.29440
	1.30000	-0.33641	1.22034	0.74462	0.54991	1.29453
	1.31000	-0.32389	1.25273	0.78466	0.51007	1.29473
	1.32000	-0.31105	1.28395	0.82426	0.47075	1.29501
	1.33000	-0.29791	1.31397	0.86326	0.43211	1.29537
	1.34000	-0.28448	1.34277	0.90151	0.39429	1.29580
	1.35000	-0.27078	1.37030	0.93886	0.35745	1.29630
	1.36000	-0.25681	1.39654	0.97516	0.32172	1.29688
	1.37000	-0.24260	1.42146	1.01027	0.28726	1.29753
	1.38000	-0.22815	1.44502	1.04404	0.25421	1.29825
	1.39000	-0.21348	1.46721	1.07635	0.22268	1.29903
	1.40000	-0.19860	1.48799	1.10706	0.19282	1.29988
	1.41000	-0.18352	1.50735	1.13605	0.16474	1.30079
	1.42000	-0.16827	1.52525	1.16319	0.13856	1.30175
	1.43000	-0.15285	1.54168	1.18839	0.11438	1.30277
	1.44000	-0.13729	1.55662	1.21153	0.09230	1.30383
	1.45000	-0.12159	1.57004	1.23252	0.07242	1.30494
	1.46000	-0.10577	1.58194	1.25127	0.05482	1.30609
	1.47000	-0.08984	1.59230	1.26770	0.03957	1.30727
	1.48000	-0.07383	1.60110	1.28176	0.02673	1.30848
	1.49000	-0.05775	1.60833	1.29337	0.01635	1.30972
	1.50000	-0.04161	1.61400	1.30249	0.00849	1.31098
	1.51000	-0.02543	1.61808	1.30909	0.00317	1.31226
	1.52000	-0.00922	1.62057	1.31313	0.00042	1.31354
	1.53000	0.00699	1.62148	1.31459	0.00024	1.31483
	1.54000	0.02320	1.62079	1.31348	0.00264	1.31612
	1.55000	0.03938	1.61851	1.30980	0.00761	1.31740
	1.56000	0.05553	1.61465	1.30355	0.01512	1.31867
	1.57000	0.07162	1.60921	1.29477	0.02515	1.31993
	1.58000	0.08765	1.60219	1.28350	0.03765	1.32116
	1.59000	0.10358	1.59360	1.26978	0.05258	1.32236
	1.60000	0.11942	1.58346	1.25367	0.06986	1.32353
	1.61000	0.13513	1.57177	1.23523	0.08943	1.32466
	1.62000	0.15072	1.55855	1.21455	0.11121	1.32576
	1.63000	0.16616	1.54382	1.19170	0.13511	1.32680
	1.64000	0.18143	1.52760	1.16678	0.16102	1.32780
	1.65000	0.19653	1.50990	1.13990	0.18885	1.32874
	1.66000	0.21144	1.49074	1.11116	0.21847	1.32963
	1.67000	0.22614	1.47015	1.08068	0.24977	1.33045
	1.68000	0.24062	1.44816	1.04858	0.28263	1.33121
	1.69000	0.25487	1.42478	1.01500	0.31690	1.33190
	1.70000	0.26887	1.40005	0.98007	0.35246	1.33253
	1.71000	0.28261	1.37399	0.94392	0.38916	1.33308
	1.72000	0.29608	1.34663	0.90671	0.42685	1.33356
	1.73000	0.30926	1.31801	0.86857	0.46539	1.33396
	1.74000	0.32214	1.28815	0.82967	0.50462	1.33429
	1.75000	0.33471	1.25709	0.79014	0.54440	1.33454
	1.76000	0.34696	1.22487	0.75015	0.58456	1.33472
	1.77000	0.35887	1.19151	0.70985	0.62496	1.33481
	1.78000	0.37044	1.15706	0.66939	0.66544	1.33483
	1.79000	0.38166	1.12154	0.62893	0.70585	1.33478
	1.80000	0.39251	1.08500	0.58862	0.74603	1.33464
	1.81000	0.40298	1.04748	0.54861	0.78583	1.33444
	1.82000	0.41307	1.00901	0.50905	0.82511	1.33416
	1.83000	0.42277	0.96963	0.47009	0.86371	1.33380
	1.84000	0.43206	0.92938	0.43187	0.90151	1.33338
	1.85000	0.44095	0.88830	0.39454	0.93835	1.33289
	1.86000	0.44941	0.84643	0.35822	0.97410	1.33233
	1.87000	0.45745	0.80381	0.32306	1.00865	1.33170
	1.88000	0.46505	0.76048	0.28917	1.04185	1.33102
	1.89000	0.47222	0.71649	0.25668	1.07360	1.33028
	1.90000	0.47894	0.67187	0.22570	1.10377	1.32948
	1.91000	0.48520	0.62666	0.19635	1.13228	1.32863
	1.92000	0.49101	0.58091	0.16873	1.15900	1.32773
	1.93000	0.49636	0.53465	0.14293	1.18385	1.32678
	1.94000	0.50124	0.48793	0.11904	1.20675	1.32579
	1.95000	0.50565	0.44079	0.09715	1.22761	1.32476
	1.96000	0.50958	0.39328	0.07733	1.24637	1.32370
	1.97000	0.51303	0.34542	0.05966	1.26295	1.32261
	1.98000	0.51601	0.29727	0.04419	1.27730	1.32149
	1.99000	0.51850	0.24887	0.03097	1.28937	1.32034
	2.00000	0.52050	0.20025	0.02005	1.29912	1.31918
	2.01000	0.52201	0.15147	0.01147	1.30652	1.31800
	2.02000	0.52304	0.10255	0.00526	1.31154	1.31680
	2.03000	0.52357	0.05355	0.00143	1.31417	1.31560
	2.04000	0.52362	0.00450	0.00001	1.31439	1.31440
	2.05000	0.52317	-0.04455	0.00099	1.31221	1.31320
	2.06000	0.52224	-0.09356	0.00438	1.30762	1.31200
	2.07000	0.52081	-0.14250	0.01015	1.30066	1.31081
	2.08000	0.51890	-0.19131	0.01830	1.29134	1.30964
	2.09000	0.51650	-0.23996	0.02879	1.27969	1.30848
	2.10000	0.51362	-0.28841	0.04159	1.26575	1.30734
	2.11000	0.51025	-0.33661	0.05665	1.24957	1.30623
	2.12000	0.50641	-0.38452	0.07393	1.23122	1.30514
	2.13000	0.50208	-0.43210	0.09336	1.21074	1.30409
	2.14000	0.49729	-0.47931	0.11487	1.18821	1.30308
	2.15000	0.49203	-0.52611	0.13840	1.16370	1.30210
	2.16000	0.48631	-0.57245	0.16385	1.13732	1.30117
	2.17000	0.48012	-0.61830	0.19115	1.10913	1.30028
	2.18000	0.47349	-0.66361	0.22019	1.07926	1.29945
	2.19000	0.46640	-0.70835	0.25088	1.04779	1.29867
	2.20000	0.45888	-0.75246	0.28310	1.01484	1.29794
	2.21000	0.45092	-0.79591	0.31674	0.98054	1.29728
	2.22000	0.44253	-0.83866	0.35168	0.94500	1.29667
	2.23000	0.43373	-0.88067	0.38779	0.90834	1.29614
	2.24000	0.42451	-0.92190	0.42495	0.87072	1.29566
	2.25000	0.41488	-0.96230	0.46301	0.83225	1.29526
	2.26000	0.40487	-1.00185	0.50185	0.79308	1.29493
	2.27000	0.39446	-1.04049	0.54131	0.75337	1.29467
	2.28000	0.38368	-1.07819	0.58125	0.71325	1.29449
	2.29000	0.37253	-1.11491	0.62151	0.67287	1.29438
	2.30000	0.36102	-1.15062	0.66196	0.63239	1.29435
	2.31000	0.34917	-1.18527	0.70243	0.59197	1.29440
	2.32000	0.33698	-1.21883	0.74277	0.55175	1.29452
	2.33000	0.32447	-1.25127	0.78283	0.51189	1.29472
	2.34000	0.31164	-1.28254	0.82246	0.47254	1.29500
	2.35000	0.29852	-1.31262	0.86149	0.43386	1.29535
	2.36000	0.28510	-1.34147	0.89977	0.39600	1.29578
	2.37000	0.27141	-1.36906	0.93717	0.35911	1.29628
	2.38000	0.25746	-1.39536	0.97352	0.32334	1.29686
	2.39000	0.24326	-1.42034	1.00869	0.28882	1.29750
	2.40000	0.22882	-1.44397	1.04253	0.25569	1.29822
	2.41000	0.21415	-1.46622	1.07490	0.22409	1.29900
	2.42000	0.19928	-1.48707	1.10569	0.19415	1.29984
	2.43000	0.18422	-1.50649	1.13476	0.16599	1.30074
	2.44000	0.16897	-1.52446	1.16199	0.13971	1.30170
	2.45000	0.15356	-1.54096	1.18728	0.11544	1.30272
	2.46000	0.13800	-1.55596	1.21051	0.09327	1.30378
	2.47000	0.12231	-1.56946	1.23160	0.07329	1.30489
	2.48000	0.10650	-1.58143	1.25046	0.05558	1.30603
	2.49000	0.09058	-1.59185	1.26700	0.04021	1.30721
	2.50000	0.07457	-1.60073	1.28117	0.02726	1.30843
	2.51000	0.05849	-1.60804	1.29289	0.01678	1.30967
	2.52000	0.04235	-1.61377	1.30213	0.00880	1.31093
	2.53000	0.02617	-1.61792	1.30884	0.00336	1.31220
	2.54000	0.00997	-1.62049	1.31300	0.00049	1.31348
	2.55000	-0.00625	-1.62147	1.31458	0.00019	1.31477
	2.56000	-0.02246	-1.62086	1.31359	0.00247	1.31606
	2.57000	-0.03864	-1.61865	1.31002	0.00732	1.31734
	2.58000	-0.05479	-1.61486	1.30389	0.01472	1.31861
	2.59000	-0.07089	-1.60949	1.29523	0.02464	1.31987
	2.60000	-0.08691	-1.60254	1.28407	0.03703	1.32110
	2.61000	-0.10285	-1.59403	1.27046	0.05184	1.32231
	2.62000	-0.11869	-1.58396	1.25446	0.06902	1.32348
	2.63000	-0.13441	-1.57234	1.23613	0.08849	1.32461
	2.64000	-0.15001	-1.55919	1.21554	0.11017	1.32571
	2.65000	-0.16545	-1.54453	1.19279	0.13397	1.32676
	2.66000	-0.18074	-1.52838	1.16797	0.15979	1.32776
	2.67000	-0.19584	-1.51074	1.14117	0.18753	1.32870
	2.68000	-0.21076	-1.49165	1.11251	0.21707	1.32959
	2.69000	-0.22547	-1.47113	1.08211	0.24830	1.33041
	2.70000	-0.23996	-1.44920	1.05009	0.28109	1.33118
	2.71000	-0.25422	-1.42588	1.01657	0.31530	1.33187
	2.72000	-0.26823	-1.40121	0.98170	0.35080	1.33250
	2.73000	-0.28199	-1.37521	0.94560	0.38745	1.33305
	2.74000	-0.29547	-1.34791	0.90844	0.42510	1.33354
	2.75000	-0.30866	-1.31935	0.87034	0.46360	1.33394
	2.76000	-0.32155	-1.28955	0.83147	0.50281	1.33428
	2.77000	-0.33414	-1.25854	0.79197	0.54256	1.33453
	2.78000	-0.34640	-1.22637	0.75199	0.58272	1.33471
	2.79000	-0.35833	-1.19307	0.71170	0.62311	1.33481
	2.80000	-0.36992	-1.15866	0.67125	0.66359	1.33483
	2.81000	-0.38115	-1.12319	0.63078	0.70400	1.33478
	2.82000	-0.39202	-1.08670	0.59046	0.74419	1.33465
	2.83000	-0.40251	-1.04922	0.55043	0.78402	1.33445
	2.84000	-0.41262	-1.01079	0.51085	0.82332	1.33417
	2.85000	-0.42233	-0.97145	0.47186	0.86196	1.33382
	2.86000	-0.43165	-0.93124	0.43361	0.89979	1.33340
	2.87000	-0.44055	-0.89020	0.39623	0.93668	1.33291
	2.88000	-0.44903	-0.84837	0.35986	0.97249	1.33235
	2.89000	-0.45709	-0.80578	0.32464	1.00709	1.33173
	2.90000	-0.46472	-0.76249	0.29069	1.04036	1.33105
	2.91000	-0.47190	-0.71852	0.25814	1.07217	1.33031
	2.92000	-0.47864	-0.67393	0.22709	1.10243	1.32952
	2.93000	-0.48493	-0.62875	0.19766	1.13101	1.32867
	2.94000	-0.49076	-0.58302	0.16995	1.15781	1.32777
	2.95000	-0.49613	-0.53678	0.14407	1.18276	1.32682
	2.96000	-0.50103	-0.49009	0.12009	1.20575	1.32584
	2.97000	-0.50546	-0.44297	0.09811	1.22670	1.32481
	2.98000	-0.50941	-0.39546	0.07820	1.24555	1.32375
	2.99000	-0.51289	-0.34763	0.06042	1.26224	1.32266
	3.00000	-0.51588	-0.29949	0.04485	1.27669	1.32154
	3.01000	-0.51839	-0.25110	0.03152	1.28887	1.32039
	3.02000	-0.52042	-0.20249	0.02050	1.29873	1.31923
	3.03000	-0.52195	-0.15371	0.01181	1.30624	1.31805
	3.04000	-0.52300	-0.10480	0.00549	1.31137	1.31686
	3.05000	-0.52356	-0.05580	0.00156	1.31410	1.31566
	3.06000	-0.52363	-0.00675	0.00002	1.31443	1.31446
	3.07000	-0.52320	0.04230	0.00089	1.31236	1.31325
	3.08000	-0.52229	0.09132	0.00417	1.30789	1.31206
	3.09000	-0.52089	0.14026	0.00984	1.30103	1.31087
	3.10000	-0.51900	0.18908	0.01787	1.29182	1.30969
	3.11000	-0.51662	0.23773	0.02826	1.28027	1.30853
	3.12000	-0.51376	0.28619	0.04095	1.26644	1.30739
	3.13000	-0.51042	0.33440	0.05591	1.25037	1.30628
	3.14000	-0.50659	0.38233	0.07309	1.23210	1.30519
	3.15000	-0.50229	0.42993	0.09242	1.21172	1.30414
	3.16000	-0.49752	0.47715	0.11384	1.18928	1.30312
	3.17000	-0.49228	0.52397	0.13727	1.16487	1.30214
	3.18000	-0.48658	0.57034	0.16264	1.13857	1.30121
	3.19000	-0.48042	0.61621	0.18986	1.11046	1.30032
	3.20000	-0.47380	0.66155	0.21882	1.08066	1.29948
	3.21000	-0.46674	0.70631	0.24943	1.04927	1.29870
	3.22000	-0.45923	0.75045	0.28159	1.01639	1.29797
	3.23000	-0.45129	0.79393	0.31517	0.98214	1.29731
	3.24000	-0.44293	0.83672	0.35005	0.94665	1.29670
	3.25000	-0.43414	0.87876	0.38611	0.91005	1.29616
	3.26000	-0.42494	0.92003	0.42322	0.87246	1.29568
	3.27000	-0.41533	0.96047	0.46125	0.83403	1.29528
	3.28000	-0.40533	1.00005	0.50005	0.79489	1.29495
	3.29000	-0.39495	1.03873	0.53949	0.75520	1.29468
	3.30000	-0.38418	1.07648	0.57940	0.71509	1.29450
	3.31000	-0.37305	1.11325	0.61966	0.67473	1.29439
	3.32000	-0.36156	1.14900	0.66010	0.63425	1.29435
	3.33000	-0.34972	1.18370	0.70058	0.59382	1.29439
	3.34000	-0.33755	1.21731	0.74093	0.55358	1.29451
	3.35000	-0.32505	1.24980	0.78100	0.51370	1.29471
	3.36000	-0.31224	1.28113	0.82065	0.47433	1.29498
	3.37000	-0.29913	1.31127	0.85971	0.43562	1.29533
	3.38000	-0.28572	1.34018	0.89804	0.39772	1.29576
	3.39000	-0.27205	1.36783	0.93547	0.36078	1.29626
	3.40000	-0.25810	1.39419	0.97188	0.32495	1.29683
	3.41000	-0.24391	1.41923	1.00710	0.29037	1.29747
	3.42000	-0.22948	1.44292	1.04100	0.25718	1.29818
	3.43000	-0.21483	1.46523	1.07345	0.22551	1.29896
	3.44000	-0.19997	1.48614	1.10431	0.19549	1.29980
	3.45000	-0.18491	1.50563	1.13346	0.16724	1.30070
	3.46000	-0.16968	1.52367	1.16078	0.14088	1.30166
	3.47000	-0.15427	1.54023	1.18616	0.11651	1.30267
	3.48000	-0.13872	1.55531	1.20949	0.09424	1.30373
	3.49000	-0.12303	1.56887	1.23068	0.07415	1.30483
	3.50000	-0.10722	1.58091	1.24964	0.05634	1.30598
	3.51000	-0.09131	1.59141	1.26629	0.04087	1.30716
	3.52000	-0.07531	1.60036	1.28057	0.02780	1.30837
	3.53000	-0.05923	1.60774	1.29241	0.01720	1.30961
	3.54000	-0.04309	1.61354	1.30176	0.00911	1.31087
	3.55000	-0.02692	1.61777	1.30859	0.00355	1.31214
	3.56000	-0.01071	1.62041	1.31286	0.00056	1.31343
	3.57000	0.00550	1.62146	1.31457	0.00015	1.31471
	3.58000	0.02171	1.62092	1.31369	0.00231	1.31600
	3.59000	0.03790	1.61879	1.31024	0.00705	1.31729
	3.60000	0.05405	1.61507	1.30423	0.01433	1.31856
	3.61000	0.07015	1.60977	1.29568	0.02413	1.31981
	3.62000	0.08618	1.60290	1.28464	0.03641	1.32104
	3.63000	0.10212	1.59445	1.27114	0.05111	1.32225
	3.64000	0.11797	1.58445	1.25524	0.06818	1.32342
	3.65000	0.13370	1.57291	1.23702	0.08754	1.32456
	3.66000	0.14929	1.55983	1.21653	0.10912	1.32566
	3.67000	0.16475	1.54524	1.19388	0.13283	1.32671
	3.68000	0.18004	1.52915	1.16915	0.15856	1.32771
	3.69000	0.19515	1.51158	1.14244	0.18622	1.32866
	3.70000	0.21008	1.49256	1.11387	0.21568	1.32955
	3.71000	0.22480	1.47210	1.08354	0.24683	1.33038
	3.72000	0.23930	1.45023	1.05159	0.27955	1.33114
	3.73000	0.25357	1.42698	1.01814	0.31370	1.33184
	3.74000	0.26760	1.40237	0.98332	0.34915	1.33247
	3.75000	0.28136	1.37643	0.94728	0.38575	1.33303
	3.76000	0.29485	1.34919	0.91016	0.42335	1.33352
	3.77000	0.30806	1.32069	0.87211	0.46182	1.33393
	3.78000	0.32097	1.29094	0.83327	0.50100	1.33426
	3.79000	0.33357	1.25999	0.79379	0.54073	1.33452
	3.80000	0.34585	1.22787	0.75384	0.58087	1.33470
	3.81000	0.35779	1.19462	0.71356	0.62125	1.33481
	3.82000	0.36940	1.16026	0.67310	0.66173	1.33484
	3.83000	0.38065	1.12484	0.63264	0.70215	1.33479
	3.84000	0.39153	1.08840	0.59230	0.74236	1.33466
	3.85000	0.40204	1.05096	0.55226	0.78220	1.33446
	3.86000	0.41216	1.01258	0.51265	0.82153	1.33418
	3.87000	0.42190	0.97328	0.47363	0.86020	1.33384
	3.88000	0.43123	0.93311	0.43534	0.89808	1.33342
	3.89000	0.44015	0.89210	0.39792	0.93501	1.33293
	3.90000	0.44865	0.85030	0.36151	0.97087	1.33238
	3.91000	0.45673	0.80775	0.32623	1.00553	1.33176
	3.92000	0.46437	0.76449	0.29222	1.03886	1.33108
	3.93000	0.47158	0.72055	0.25960	1.07075	1.33035
	3.94000	0.47834	0.67599	0.22848	1.10107	1.32955
	3.95000	0.48465	0.63083	0.19897	1.12973	1.32871
	3.96000	0.49050	0.58513	0.17119	1.15662	1.32781
	3.97000	0.49589	0.53892	0.14521	1.18165	1.32687
	3.98000	0.50081	0.49224	0.12115	1.20473	1.32588
	3.99000	0.50526	0.44514	0.09907	1.22579	1.32486
	4.00000	0.50924	0.39765	0.07906	1.24474	1.32380
	4.01000	0.51274	0.34983	0.06119	1.26152	1.32271
	4.02000	0.51575	0.30170	0.04551	1.27608	1.32159
	4.03000	0.51829	0.25332	0.03209	1.28836	1.32045
	4.04000	0.52034	0.20472	0.02096	1.29833	1.31928
	4.05000	0.52189	0.15595	0.01216	1.30594	1.31810
	4.06000	0.52297	0.10704	0.00573	1.31118	1.31691
	4.07000	0.52355	0.05805	0.00168	1.31403	1.31571
	4.08000	0.52364	0.00900	0.00004	1.31447	1.31451
	4.09000	0.52324	-0.04005	0.00080	1.31251	1.31331
	4.10000	0.52234	-0.08907	0.00397	1.30814	1.31211
	4.11000	0.52096	-0.13801	0.00952	1.30140	1.31092
	4.12000	0.51910	-0.18684	0.01745	1.29229	1.30974
	4.13000	0.51674	-0.23551	0.02773	1.28085	1.30858
	4.14000	0.51390	-0.28397	0.04032	1.26712	1.30744
	4.15000	0.51058	-0.33220	0.05518	1.25115	1.30633
	4.16000	0.50678	-0.38014	0.07225	1.23299	1.30524
	4.17000	0.50250	-0.42775	0.09148	1.21270	1.30419
	4.18000	0.49775	-0.47500	0.11281	1.19036	1.30317
	4.19000	0.49253	-0.52183	0.13616	1.16603	1.30219
	4.20000	0.48685	-0.56822	0.16144	1.13981	1.30125
	4.21000	0.48071	-0.61412	0.18857	1.11179	1.30036
	4.22000	0.47411	-0.65948	0.21746	1.08207	1.29952
	4.23000	0.46707	-0.70427	0.24800	1.05074	1.29874
	4.24000	0.45959	-0.74844	0.28008	1.01793	1.29801
	4.25000	0.45167	-0.79195	0.31359	0.98374	1.29734
	4.26000	0.44332	-0.83477	0.34842	0.94831	1.29673
	4.27000	0.43455	-0.87685	0.38443	0.91175	1.29618
	4.28000	0.42537	-0.91815	0.42150	0.87421	1.29571
	4.29000	0.41578	-0.95863	0.45949	0.83581	1.29530
	4.30000	0.40580	-0.99825	0.49826	0.79670	1.29496
	4.31000	0.39543	-1.03698	0.53766	0.75703	1.29470
	4.32000	0.38468	-1.07477	0.57756	0.71694	1.29450
	4.33000	0.37357	-1.11158	0.61781	0.67658	1.29439
	4.34000	0.36209	-1.14738	0.65824	0.63611	1.29435
	4.35000	0.35027	-1.18213	0.69872	0.59567	1.29439
	4.36000	0.33811	-1.21580	0.73908	0.55542	1.29450
