  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   2.48000     0.03684          -1.63409     1.33512     0.00666        1.34178
   2.49000     0.02047          -1.63770     1.34104     0.00205        1.34309
   2.50000     0.00407          -1.63971     1.34433     0.00008        1.34441
   2.51000    -0.01233          -1.64011     1.34498     0.00075        1.34573
   2.52000    -0.02872          -1.63890     1.34300     0.00405        1.34704
   2.53000    -0.04508          -1.63608     1.33838     0.00997        1.34835
   2.54000    -0.06140          -1.63166     1.33116     0.01848        1.34964
   2.55000    -0.07765          -1.62564     1.32135     0.02956        1.35091
   2.56000    -0.09383          -1.61802     1.30899     0.04316        1.35215
   2.57000    -0.10992          -1.60881     1.29414     0.05921        1.35335
   2.58000    -0.12590          -1.59803     1.27685     0.07765        1.35450
   2.59000    -0.14176          -1.58568     1.25719     0.09841        1.35559
   2.60000    -0.15748          -1.57177     1.23523     0.12139        1.35662
   2.61000    -0.17304          -1.55632     1.21107     0.14651        1.35758
   2.62000    -0.18843          -1.53935     1.18480     0.17365        1.35845
   2.63000    -0.20364          -1.52086     1.15651     0.20271        1.35922
   2.64000    -0.21865          -1.50089     1.12633     0.23357        1.35990
   2.65000    -0.23345          -1.47944     1.09436     0.26610        1.36046
   2.66000    -0.24801          -1.45653     1.06075     0.30016        1.36091
   2.67000    -0.26233          -1.43220     1.02561     0.33563        1.36123
   2.68000    -0.27640          -1.40647     0.98908     0.37234        1.36142
   2.69000    -0.29019          -1.37935     0.95131     0.41017        1.36148
   2.70000    -0.30370          -1.35089     0.91245     0.44894        1.36139
   2.71000    -0.31691          -1.32109     0.87264     0.48852        1.36116
   2.72000    -0.32981          -1.29000     0.83206     0.52873        1.36078
   2.73000    -0.34239          -1.25765     0.79084     0.56942        1.36026
   2.74000    -0.35463          -1.22406     0.74916     0.61042        1.35959
   2.75000    -0.36652          -1.18927     0.70719     0.65159        1.35877
   2.76000    -0.37805          -1.15332     0.66507     0.69274        1.35781
   2.77000    -0.38922          -1.11623     0.62298     0.73373        1.35671
   2.78000    -0.40000          -1.07805     0.58109     0.77438        1.35548
   2.79000    -0.41039          -1.03881     0.53956     0.81455        1.35412
   2.80000    -0.42037          -0.99855     0.49855     0.85408        1.35263
   2.81000    -0.42994          -0.95731     0.45822     0.89282        1.35104
   2.82000    -0.43910          -0.91513     0.41873     0.93061        1.34935
   2.83000    -0.44782          -0.87206     0.38024     0.96732        1.34756
   2.84000    -0.45610          -0.82813     0.34290     1.00280        1.34569
   2.85000    -0.46393          -0.78338     0.30685     1.03691        1.34376
   2.86000    -0.47131          -0.73787     0.27223     1.06954        1.34177
   2.87000    -0.47823          -0.69164     0.23918     1.10056        1.33974
   2.88000    -0.48467          -0.64472     0.20783     1.12985        1.33768
   2.89000    -0.49065          -0.59718     0.17831     1.15730        1.33561
   2.90000    -0.49614          -0.54904     0.15072     1.18281        1.33353
   2.91000    -0.50114          -0.50037     0.12519     1.20628        1.33147
   2.92000    -0.50565          -0.45121     0.10180     1.22763        1.32943
   2.93000    -0.50967          -0.40161     0.08064     1.24679        1.32743
   2.94000    -0.51318          -0.35161     0.06181     1.26367        1.32548
   2.95000    -0.51620          -0.30126     0.04538     1.27822        1.32360
   2.96000    -0.51870          -0.25063     0.03141     1.29038        1.32179
   2.97000    -0.52070          -0.19974     0.01995     1.30011        1.32006
   2.98000    -0.52219          -0.14866     0.01105     1.30737        1.31842
   2.99000    -0.52316          -0.09743     0.00475     1.31215        1.31689
   3.00000    -0.52362          -0.04611     0.00106     1.31441        1.31547
   3.01000    -0.52357           0.00526     0.00001     1.31415        1.31416
   3.02000    -0.52300           0.05662     0.00160     1.31137        1.31298
   3.03000    -0.52192           0.10792     0.00582     1.30609        1.31191
   3.04000    -0.52033           0.15913     0.01266     1.29832        1.31098
   3.05000    -0.51823           0.21017     0.02209     1.28809        1.31017
   3.06000    -0.51562           0.26101     0.03406     1.27543        1.30949
